Country,Good type,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15
Belgium,Other meats,100,106.9073614,102.5510756,101.3836342,106.1398768,104.0319965,104.6913847,106.4533564,105.13458,101.9997838,100.7350557,103.4698951,108.1504702,108.5071884,104.4643822,106.8208842,108.1396606,109.7394876,109.5232948,110.6150686,109.2638634,108.4855691,104.7562426,108.701762
Belgium,Edible offal ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Belgium,"Dried, salted or smoked meat ",100,100.3619182,100.6836232,100.6333568,100.5026641,100.532824,100.1507992,100.2613853,100.462451,100.2814919,100.4021313,100.1910124,100.3719714,100.2613853,100.2714386,100.4121846,100.6333568,100.462451,100.6635166,100.7238363,100.2613853,100.6735699,100.7238363,100.9550618
Belgium,Other meat preparations,100,100.6449662,100.6348886,100.4434143,100.6147334,100.4534919,100.6550438,101.0279149,100.2620175,99.94961201,100.4837247,100.4031039,99.31472337,100.3627935,100.5139575,100.5643455,101.0682253,100.0806208,100.1713192,100.775975,101.0480701,101.5922604,101.5922604,102.2372266
Belgium,Fish and seafood,100,99.30063042,98.82781718,99.19227738,99.3892829,101.0441292,102.0685579,102.7383767,99.69464145,99.74389283,99.01497242,98.71946414,99.28092987,98.65051221,98.27620173,97.47832939,97.73443656,98.1678487,98.62096139,98.66036249,98.71946414,98.80811663,98.70961387,98.92631994
Belgium,Fresh or chilled fish ,100,97.39322238,94.90675757,94.47563666,97.44335272,98.82695007,98.45598556,99.7192701,98.95728895,99.0976539,98.13515139,98.63645478,101.3835974,98.88710648,97.69400441,98.46601163,98.74674153,100.0501303,99.46861841,101.5440144,101.7345097,101.9450571,101.1529978,102.0553439
Belgium,Frozen fish ,100,101.2784999,101.7792457,103.6756872,104.7304496,105.0500746,105.5188579,106.360537,107.0317494,107.4152994,107.7349244,107.6177285,106.488387,106.0835287,106.2646495,105.9343703,106.5736203,106.9678244,106.6695078,107.0850202,106.5736203,106.8293203,106.7760494,106.2539953
Belgium,Fresh or chilled seafood ,100,98.63262657,99.30765902,101.3327564,97.54218953,102.4578105,108.2561662,108.9831242,93.59584595,94.04586759,91.57074859,89.59757681,89.00908698,89.43314582,89.00908698,85.71181307,85.96278667,86.06663782,87.01860666,86.13587192,84.48290783,84.84638685,85.08870619,85.72912159
Belgium,Frozen seafood ,100,104.2722418,106.0334053,106.385638,107.1469151,107.2491762,107.1810022,106.9196682,107.010567,106.6128849,107.8059311,107.9422793,108.9421657,108.8512669,111.7941143,111.0896489,112.5553914,115.305079,115.1687308,116.1345302,116.2822407,115.702761,115.8504715,115.8050222
Belgium,"Dried, smoked or salted fish and seafood",100,100.3944175,100.7787217,100.2831715,100.5966828,101.4057443,101.3450647,101.9316343,101.6080097,102.8418285,102.0024272,101.1427994,102.7002427,102.7305825,102.0024272,100.1314725,101.355178,98.34142395,102.0226537,100.3640777,100.6169094,101.2944984,101.3248382,100.6978155
Belgium,Other preserved or processed fish and seafood and fish and seafood preparations,100,100.0291715,100.1653053,99.94165694,98.71645274,99.42629327,99.57215091,99.50408401,99.58187476,98.56087126,98.66783353,98.69700506,97.31621937,97.97744068,97.91909763,97.32594321,96.64527421,97.09257098,97.6857254,95.89653831,97.51069623,96.96616103,97.44262933,97.08284714
Belgium,"Milk, cheese and eggs",100,100.2367097,100.0493145,101.0356051,101.1243712,101.0947825,101.2230003,101.1934116,100.729855,100.207121,99.96054838,99.42795147,99.09261268,98.80658842,98.60933031,98.0668705,97.86961239,98.03728178,98.29371733,98.14577374,97.45537035,99.33918532,99.86191932,99.99013709
Belgium,Fresh whole milk ,100,100.5067891,100.7649646,100.9370817,100.8510231,101.0518264,100.6884682,100.8414611,99.24459744,97.59036145,96.97838975,93.72729011,93.46911455,92.94320138,92.86670491,92.10174029,92.40772614,91.21246892,91.27940333,90.94473131,90.83954867,104.7140945,107.5157774,107.1619813
Belgium,Fresh low fat milk ,100,100.329691,100.6688018,101.0361718,100.7535795,100.2072344,100.1130369,99.86812359,98.99208742,97.76752072,96.86322532,93.87716654,92.56782216,90.48605878,90.91936699,90.32592313,90.74039186,90.02449133,89.0919367,88.82818387,88.4890731,103.5889224,107.7430294,107.5640543
Belgium,Preserved milk,100,98.90621835,98.47073121,98.99736682,98.90621835,98.15677537,98.60239012,99.68604416,99.55438525,99.18979137,99.8683411,100.5772736,100.6481669,100.5570184,100.9013571,101.3874823,101.549524,101.4583755,101.3064614,101.7115657,101.4887584,101.1342921,101.4178651,101.7622038
Belgium,Yoghurt,100,101.0460672,100.8247837,101.367934,101.5590424,101.247234,101.7501509,101.9110843,102.021726,101.0360089,101.4886341,101.1365922,99.85918326,100.8147254,100.8650171,100.2212834,100.623617,100.593442,100.8951921,100.744317,100.3922752,100.4123919,100.593442,100.9857172
Belgium,Cheese and curd,100,100.0098658,99.63496448,100.8287293,100.8188635,100.8188635,100.9273875,100.621547,100.3650355,100.0690608,99.83228098,99.66456196,99.40805051,99.0824783,99.20086819,98.8456985,98.41160221,98.74704025,98.91475927,98.7667719,97.94790845,98.09589582,98.24388319,98.23401736
Belgium,Other milk products,100,100.2757806,100.3250271,101.5266424,101.6251354,101.7827243,102.1176007,102.708559,102.1471486,102.0191077,101.4183,101.0735743,101.5857382,101.3493549,99.66512361,98.48320693,97.85285137,98.30591943,98.05968679,97.56722151,96.06027775,97.26189304,97.81345415,97.92179651
Belgium,Eggs,100,100.2723696,100.2723696,101.3517603,102.5622919,102.9052759,102.5421164,102.7842227,100.9078987,100,99.85877131,99.70745486,99.65701604,99.16271563,98.36578231,98.07323716,98.46665994,98.90043377,102.3302734,103.0666801,103.7627358,103.2986987,102.0679915,103.3592253
Belgium,Oils and fats,100,100.3905859,100.871307,100.6409614,100.8212318,100.5508262,100.5307962,100.1902854,99.84977466,98.69804707,98.46770155,98.37756635,98.90836254,98.82824236,100.3705558,100.6609915,99.16875313,99.78968453,101.0716074,100.7611417,100.9113671,100.02003,100.7611417,100.5608413
Belgium,Butter,100,100.9795191,101.5929554,100.9201543,101.414861,101.0289898,101.6325319,101.3752845,101.1675077,99.90105867,99.77243495,99.9109528,100.0395765,99.06995152,100.3265064,101.1675077,97.19996042,99.17878698,99.44592856,98.90175126,98.54556248,97.43741961,98.46640942,97.53636094
Belgium,Margarine and other vegetable fats,100,99.84270547,100.8061345,101.287849,101.2583563,101.2386945,100.9535981,100.4817145,99.97050727,98.86944554,98.39756193,98.36806921,97.95517106,98.31891467,97.71922926,97.46362564,97.55210381,98.20094377,99.34132914,99.07589461,99.4101455,98.34840739,97.85686197,98.4762092
Belgium,Olive oil,100,99.88488907,99.20468815,98.82796149,98.40937631,97.56174131,97.04897447,96.56760151,95.93972373,94.20259523,94.45374634,93.11427375,95.88740059,97.01758058,104.1753872,103.9974885,104.0707409,101.778987,106.8857262,106.7078275,107.6182503,108.361239,109.6065299,109.6379238
Belgium,Other edible oils,100,100.3458448,100.8239243,100.64083,101.0070186,101.078222,100.5085953,100.3051572,100.21361,99.78638999,99.29813854,99.69484284,100.6204862,100.7832367,101.1392534,101.4749263,101.7902553,101.9021463,102.1971315,102.1971315,102.573492,100.966331,102.4921168,102.5022887
Belgium,Other edible animal fats,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Belgium,Fruit,100,98.90465262,101.3248487,113.2902149,105.3619862,107.6882954,101.9507615,96.92259545,91.5710411,95.15960776,92.69768412,94.2103067,93.13582308,98.03880659,101.5856457,112.1948675,113.0398498,117.4212393,105.4767369,101.9298978,102.1072397,104.423117,101.0118923,101.4813269
Belgium,Fresh or chilled fruit ,100,98.89248772,101.6090273,115.2753108,106.2689374,108.8392018,102.3090586,96.59387734,90.59659388,94.64005851,91.80858844,93.522098,92.23696583,97.56556264,101.5358897,113.4259743,114.324522,119.2665343,105.7360777,101.6926131,101.9224741,104.4091526,100.5328597,101.138857
Belgium,Frozen fruit ,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Belgium,Dried fruit and nuts,100,99.71971348,99.90657116,99.4809509,99.29409322,99.87542822,100.0622859,99.90657116,99.17990242,99.66780857,99.78199938,99.96885705,100.7162878,102.2526731,102.5641026,103.3426762,103.8409634,103.48801,104.1108689,104.5157272,104.1835358,105.3358248,106.0832555,105.2839199
Belgium,Preserved fruit and fruit-based products,100,97.06759443,97.34592445,96.85884692,97.23658052,97.39562624,97.43538767,97.51491054,97.48508946,97.20675944,97.65407555,97.46520875,97.55467197,98.91650099,98.73757455,98.81709742,99.06560636,99.58250497,100.2584493,100.1888668,100.1888668,100.5864811,99.37375746,99.58250497
