Country,Good type,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15
Belgium,All-items HICP,100.6378601,102.8497942,102.81893,102.6131687,102.4588477,102.6131687,101.2654321,102.7057613,102.3251029,102.3353909,102.1707819,102.1604938,100,102.4279835,102.6954733,102.9938272,103.3230453,103.4979424,102.1296296,103.4773663,103.2510288,103.5185185,103.600823,103.6419753
Belgium,Food and non-alcoholic beverages,100.882174,100.6185358,100.5475563,101.8657473,100.6793754,100.6996552,100.8010546,99.53356317,99.06712634,98.87446765,99.22936524,99.51328331,100,100.5272764,100.5374163,102.4335835,102.0279862,102.1800852,101.612249,101.0646928,101.1965119,101.9367268,101.6528088,101.612249
Belgium,Food,101.1255323,100.8314743,100.7807747,102.1598053,100.8720341,100.9125938,100.9632934,99.59440276,99.04684648,98.84404786,99.21922531,99.52342324,100,100.5475563,100.5475563,102.5552626,102.0786859,102.2206449,101.5919692,101.0139931,101.1356723,101.9367268,101.6021091,101.5615494
Belgium,Bread and cereals,99.93967424,99.77880555,100.0603258,100.1206515,100.1608687,99.78885984,99.83913131,99.56766539,99.68831691,99.75869696,99.75869696,99.89945707,100,100.0603258,100.4323346,100.4323346,100.4926604,100.5529861,100.6937462,100.754072,100.583149,100.8546149,100.754072,100.9048864
Belgium,Rice,100.160048,100.240072,100.530159,100.5701711,100.7202161,100.040012,100.510153,100.9302791,100.360108,100.250075,100.130039,100.7102131,100,99.93998199,100.8502551,100.7102131,100.7002101,99.46984095,99.71991597,100.7502251,99.10973292,98.72961889,99.51985596,100.8702611
Belgium,Flours and other cereals,105.616494,102.0008125,103.6969328,102.2750355,103.2195816,102.9250457,102.6203534,102.6508227,100.7414178,101.6453382,101.44221,101.167987,100,99.5328052,101.1882998,99.33983343,101.6961203,103.1383303,103.3414585,103.2703636,100.8734511,102.0312817,102.3258176,102.0312817
Belgium,Bread,98.93584981,99.13663287,99.20690694,99.29725931,99.29725931,99.30729846,99.30729846,99.36753338,99.46792491,99.56831643,99.73898203,99.83937356,100,100.130509,100.1505873,100.3112137,100.4015661,100.391527,100.4216444,100.4116053,100.2911354,100.6324666,100.7027407,100.8332497
Belgium,Other bakery products,98.98031297,98.87935386,99.37405351,99.6365472,99.67693084,99.33366986,99.49520444,99.06108026,99.52549218,99.75769813,99.79808178,99.92932862,100,100.0302877,100.676426,100.7269056,100.7672892,101.0600707,101.1004543,101.3124685,101.3124685,101.5850581,101.5345785,101.3932357
Belgium,Pizza and quiche,101.576147,101.1344243,101.8672824,101.5460295,101.576147,101.4155205,100.8834454,100.2309005,100.331292,100.2911354,99.74902118,99.8092561,100,100.6826624,101.2247766,100.4919185,101.1946592,99.03624134,100.6425058,100.130509,100.6123883,100.923602,99.4478466,100.3011746
Belgium,Pasta products and couscous,99.92037424,99.00467801,98.6463621,98.33781228,98.06907535,98.18851398,99.22364885,99.58196477,99.72130984,99.38290037,99.32318105,99.98009356,100,100.0298597,99.92037424,100.0398129,98.75584752,99.15397631,99.04449089,99.14402309,99.21369563,99.66159052,99.56205833,99.86065492
